curveY,curveX,end point?,Place Count,place id,Rank,startY
22.928002610,-44.341063291,伪,41,143,4,54
-1.433149388,41.569848101,伪,53,35,1,70
-6.215999998,-75.931037975,伪,41,159,4,54
-6.737999960,-57.691341772,伪,39,280,7,28.5
39.440623970,46.142974684,伪,43,84,2,65.5
36.917745280,147.127848101,伪,53,50,1,70
22.075411075,-11.045316456,伪,39,227,6,38
67.623233291,83.611202532,伪,53,42,1,70
10.012999932,-58.368354430,伪,31,489,13,-37.5
-23.075595381,53.644683544,伪,31,476,13,-37.5
9.371875017,133.604620253,伪,33,402,10,-5.8
9.367000000,-83.697,真,35,354,9,6
64.145720589,80.701291139,伪,43,78,2,65.5
17.428000006,-73.627037975,伪,39,233,6,38
12.800899414,33.216632911,伪,30,517,14,-46.5
-25.416423331,11.581202532,伪,53,45,1,70
-13.868618607,28.725848101,伪,53,32,1,70
69.603785232,90.707898734,伪,53,36,1,70
60.499999872,170,伪,42,121,3,60.5
60.499223977,114.775177215,伪,42,114,3,60.5
-5.717235998,-10.295329114,伪,30,523,14,-46.5
16.197000182,-56.184367089,伪,40,194,5,47
37.749039973,78.946835443,伪,39,240,6,38
8.722029864,-13.708025316,伪,39,313,8,18
25.588457756,39.335316456,伪,40,185,5,47
27.961013595,65.553544304,伪,39,268,7,28.5
37.999998087,151.249772152,伪,39,244,6,38
-4.908444279,142.237164557,伪,30,589,16,-60
-26.783956708,-13.852556962,伪,43,80,2,65.5
45.897380650,38.196329114,伪,43,87,2,65.5
-5.593531000,6.381670886,伪,39,315,8,18
9.959996876,-35.811037975,伪,32,449,12,-28
13.482493644,-13.217113924,伪,30,572,16,-60
13.367000292,-47.877215190,伪,39,240,6,38
38.440000000,-104.187797468,伪,41,139,4,54
34.953000001,-94.701164557,伪,43,54,2,65.5
13.993996072,-40.276455696,伪,30,543,15,-54
17.916011190,3.464987342,伪,39,311,8,18
19.102862411,19.629721519,伪,42,104,3,60.5
14.968000004,-61.941012658,伪,39,310,8,18
-27.999994760,135.486835443,伪,32,440,12,-28
6.080951364,167.700911392,伪,35,370,9,6
18.000000066,142.312405063,伪,39,301,8,18
-59.998782230,117.125481013,伪,30,576,16,-60
28.486707204,97.292924051,伪,39,281,7,28.5
29.570972891,17.060379747,伪,53,12,1,70
17.533016241,-33.850379747,伪,42,107,3,60.5
60.499467464,107.204607595,伪,42,99,3,60.5
13.556278173,122.847518987,伪,35,366,9,6
33.734583717,-12.463291139,伪,39,298,8,18
69.999720170,130.074696203,伪,53,32,1,70
37.973999990,-89.204683544,伪,31,470,13,-37.5
37.999996429,131.960329114,伪,39,223,6,38
-11.586923816,26.076481013,伪,41,160,4,54
30.254176604,150.479037975,伪,40,212,5,47
-57.657841038,166.916392405,伪,30,586,16,-60
65.488531577,140.220253165,伪,43,88,2,65.5
